date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
1994-05-24,sh.000001,586.5000,590.5200,586.5000,590.4600,104712400,605327680.0000,3,0.012646,1,0.478175,0.000000,0.000000,0.000000,0.000000,0
1994-05-25,sh.000001,591.2300,592.8500,585.1500,586.7600,107663400,682096896.0000,3,0.012973,1,-0.626632,0.000000,0.000000,0.000000,0.000000,0
1994-05-26,sh.000001,586.0900,587.1600,575.9300,577.4600,109949100,648945920.0000,3,0.013248,1,-1.584973,0.000000,0.000000,0.000000,0.000000,0
1994-05-27,sh.000001,572.9700,574.7800,566.3700,573.3600,129910700,774700992.0000,3,0.015653,1,-0.710012,0.000000,0.000000,0.000000,0.000000,0
1994-05-30,sh.000001,565.6300,565.8700,543.1900,544.2600,641294000,661342336.0000,3,0.076765,1,-5.075341,0.000000,0.000000,0.000000,0.000000,0
1994-05-31,sh.000001,538.4500,556.2800,537.7800,556.2600,310822700,493964160.0000,3,0.037081,1,2.204829,0.000000,0.000000,0.000000,0.000000,0
1994-06-01,sh.000001,554.0800,556.9000,543.8800,545.0500,225002400,558840192.0000,3,0.026843,1,-2.015249,0.000000,0.000000,0.000000,0.000000,0
1994-06-02,sh.000001,543.3000,548.1200,543.1000,546.5800,183576300,415087264.0000,3,0.021893,1,0.280714,0.000000,0.000000,0.000000,0.000000,0
1994-06-03,sh.000001,547.2100,555.3900,547.1500,548.7500,175766500,554162624.0000,3,0.020962,1,0.397011,0.000000,0.000000,0.000000,0.000000,0
1994-06-06,sh.000001,549.0300,549.6600,540.9900,542.9700,116955000,361800384.0000,3,0.013725,1,-1.053308,0.000000,0.000000,0.000000,0.000000,0
1994-06-07,sh.000001,541.1600,541.2500,527.9300,529.7600,58625300,430936320.0000,3,0.006873,1,-2.432908,0.000000,0.000000,0.000000,0.000000,0
1994-06-08,sh.000001,526.4000,535.5200,522.8500,533.5600,80504300,539957376.0000,3,0.009438,1,0.717304,0.000000,0.000000,0.000000,0.000000,0
1994-06-09,sh.000001,534.2400,536.8900,521.0200,523.0000,93166800,725095104.0000,3,0.010905,1,-1.979158,0.000000,0.000000,0.000000,0.000000,0
1994-06-10,sh.000001,519.8400,521.8400,512.0300,514.5400,78470300,531074624.0000,3,0.009185,1,-1.617595,0.000000,0.000000,0.000000,0.000000,0
1994-06-13,sh.000001,505.5400,505.6800,491.6100,492.0300,70764400,410018720.0000,3,0.008271,1,-4.374777,0.000000,0.000000,0.000000,0.000000,0
1994-06-14,sh.000001,492.4500,497.8000,487.2600,490.7500,75173900,429329504.0000,3,0.008779,1,-0.260147,0.000000,0.000000,0.000000,0.000000,0
1994-06-15,sh.000001,492.8400,498.7100,491.1800,496.1100,82989600,414025376.0000,3,0.009691,1,1.092203,0.000000,0.000000,0.000000,0.000000,0
1994-06-16,sh.000001,498.1100,506.4000,494.9400,506.3600,79772400,435822272.0000,3,0.009316,1,2.066074,0.000000,0.000000,0.000000,0.000000,0
1994-06-17,sh.000001,509.0900,528.4500,504.1300,527.8500,184202200,992650176.0000,3,0.021482,1,4.244014,0.000000,0.000000,0.000000,0.000000,0
1994-06-20,sh.000001,523.3700,531.1100,500.4600,502.4300,185821200,1115201536.0000,3,0.021506,1,-4.815759,0.000000,0.000000,0.000000,0.000000,0
1994-06-21,sh.000001,498.5600,501.2400,494.8100,498.0700,63665600,372147040.0000,3,0.007368,1,-0.867780,0.000000,0.000000,0.000000,0.000000,0
1994-06-22,sh.000001,499.1400,509.1900,499.1400,505.1800,55608700,324051168.0000,3,0.006436,1,1.427507,0.000000,0.000000,0.000000,0.000000,0
1994-06-23,sh.000001,507.0300,507.9200,498.5700,500.3900,62463800,391212928.0000,3,0.007229,1,-0.948172,0.000000,0.000000,0.000000,0.000000,0
1994-06-24,sh.000001,499.9100,500.5000,490.6800,492.3300,59950500,364686240.0000,3,0.006931,1,-1.610749,0.000000,0.000000,0.000000,0.000000,0
1994-06-27,sh.000001,483.4500,483.9000,471.0300,472.1000,66136700,380743392.0000,3,0.007641,1,-4.109029,0.000000,0.000000,0.000000,0.000000,0
1994-06-28,sh.000001,470.5400,472.9500,468.7700,469.9500,38783300,207516272.0000,3,0.004475,1,-0.455411,0.000000,0.000000,0.000000,0.000000,0
1994-06-29,sh.000001,472.4800,475.3800,466.9700,468.2000,34303800,192562032.0000,3,0.003958,1,-0.372380,0.000000,0.000000,0.000000,0.000000,0
1994-06-30,sh.000001,466.3500,471.1800,458.7400,469.2900,47517300,268926720.0000,3,0.005474,1,0.232806,0.000000,0.000000,0.000000,0.000000,0
1994-07-01,sh.000001,469.2700,469.4300,457.5100,458.3700,52899500,309435968.0000,3,0.006094,1,-2.326922,0.000000,0.000000,0.000000,0.000000,0
1994-07-04,sh.000001,446.2300,446.8600,438.1200,438.5800,51969900,277932512.0000,3,0.005665,1,-4.317475,0.000000,0.000000,0.000000,0.000000,0
1994-07-05,sh.000001,437.6400,443.8600,436.2200,443.6100,43898900,237065952.0000,3,0.004785,1,1.146883,0.000000,0.000000,0.000000,0.000000,0
1994-07-06,sh.000001,444.5900,445.0500,430.7700,431.7100,56253700,275081888.0000,3,0.006132,1,-2.682535,0.000000,0.000000,0.000000,0.000000,0
1994-07-07,sh.000001,428.3000,430.5800,423.0300,425.9800,44138200,239545344.0000,3,0.004811,1,-1.327275,0.000000,0.000000,0.000000,0.000000,0
1994-07-08,sh.000001,426.2500,438.0600,425.9000,437.7500,59650200,325375136.0000,3,0.006502,1,2.763038,0.000000,0.000000,0.000000,0.000000,0
1994-07-11,sh.000001,436.5400,436.5400,427.0800,428.1500,66075300,406679072.0000,3,0.007197,1,-2.193034,0.000000,0.000000,0.000000,0.000000,0
1994-07-12,sh.000001,427.6200,431.1500,427.2300,429.2100,32247700,159813616.0000,3,0.003512,1,0.247576,0.000000,0.000000,0.000000,0.000000,0
1994-07-13,sh.000001,430.5500,437.6600,430.4000,437.6200,46165200,251675040.0000,3,0.005028,1,1.959415,0.000000,0.000000,0.000000,0.000000,0
1994-07-14,sh.000001,437.5300,440.5900,430.5700,431.8000,79063600,498111680.0000,3,0.008612,1,-1.329923,0.000000,0.000000,0.000000,0.000000,0
1994-07-15,sh.000001,431.0100,431.0500,413.0000,413.9300,69611800,369175488.0000,3,0.007582,1,-4.138489,0.000000,0.000000,0.000000,0.000000,0
1994-07-18,sh.000001,405.6100,406.6400,397.4700,398.9600,45004000,209533200.0000,3,0.004884,1,-3.616554,0.000000,0.000000,0.000000,0.000000,0
1994-07-19,sh.000001,398.9000,403.4900,393.0600,400.4800,38863900,179714848.0000,3,0.004218,1,0.380995,0.000000,0.000000,0.000000,0.000000,0
1994-07-20,sh.000001,401.9800,402.5900,393.1400,393.8700,33460500,167150608.0000,3,0.003631,1,-1.650523,0.000000,0.000000,0.000000,0.000000,0
1994-07-21,sh.000001,390.9400,390.9900,380.7200,380.9000,51974700,240580880.0000,3,0.005641,1,-3.292965,0.000000,0.000000,0.000000,0.000000,0
1994-07-22,sh.000001,378.1900,378.2300,362.2900,363.7300,78275100,357768192.0000,3,0.008495,1,-4.507740,0.000000,0.000000,0.000000,0.000000,0
1994-07-25,sh.000001,357.4000,375.3900,354.5000,375.3900,94069100,425631040.0000,3,0.010203,1,3.205676,0.000000,0.000000,0.000000,0.000000,0
1994-07-26,sh.000001,376.7600,388.8000,372.1100,388.7500,169389200,797643776.0000,3,0.018372,1,3.558961,0.000000,0.000000,0.000000,0.000000,0
1994-07-27,sh.000001,387.8100,392.1700,369.0400,371.1000,183464600,855892480.0000,3,0.019898,1,-4.540191,0.000000,0.000000,0.000000,0.000000,0
1994-07-28,sh.000001,366.5500,367.7200,339.0400,339.8100,128077400,557004736.0000,3,0.013891,1,-8.431692,0.000000,0.000000,0.000000,0.000000,0
1994-07-29,sh.000001,335.4500,338.9600,325.8900,333.9200,118338800,482767168.0000,3,0.012835,1,-1.733317,0.000000,0.000000,0.000000,0.000000,0
1994-08-01,sh.000001,394.8700,448.9100,377.9700,445.6400,620399100,3047689984.0000,3,0.067159,1,33.457120,0.000000,0.000000,0.000000,0.000000,0
1994-08-02,sh.000001,451.1800,494.8100,431.5800,432.6100,918894900,5343167488.0000,3,0.099472,1,-2.923891,0.000000,0.000000,0.000000,0.000000,0
1994-08-03,sh.000001,438.5200,523.0300,434.1100,522.9800,834483700,4575471616.0000,3,0.090334,1,20.889480,0.000000,0.000000,0.000000,0.000000,0
